DT,N00_00,N00_15,N00_30,N00_45,N01_00,N01_15,N01_30,N01_45,N02_00,N02_15,N02_30,N02_45,N03_00,N03_15,N03_30,N03_45,N04_00,N04_15,N04_30,N04_45,N05_00,N05_15,N05_30,N05_45,N06_00,N06_15,N06_30,N06_45,N07_00,N07_15,N07_30,N07_45,N08_00,N08_15,N08_30,N08_45,N09_00,N09_15,N09_30,N09_45,N10_00,N10_15,N10_30,N10_45,N11_00,N11_15,N11_30,N11_45,N12_00,N12_15,N12_30,N12_45,N13_00,N13_15,N13_30,N13_45,N14_00,N14_15,N14_30,N14_45,N15_00,N15_15,N15_30,N15_45,N16_00,N16_15,N16_30,N16_45,N17_00,N17_15,N17_30,N17_45,N18_00,N18_15,N18_30,N18_45,N19_00,N19_15,N19_30,N19_45,N20_00,N20_15,N20_30,N20_45,N21_00,N21_15,N21_30,N21_45,N22_00,N22_15,N22_30,N22_45,N23_00,N23_15,N23_30,N23_45
2013/1/11,11755.16,11533.52,11491.38,11240.75,11175.77,10983.79,10913.38,10950.51,10831.43,10744.89,10640.74,10588.87,10489.27,10405.48,10461.76,10421.67,10341.13,10319.91,10341.83,10363.52,10344.37,10344.97,10351.76,10468.49,10488.57,10587.31,10779.71,10961.22,11154.57,11191.98,11310.63,11560.76,11773.78,12257.72,12843.67,13212.94,13390.95,13397.87,13581.27,13821.1,14027.78,14141.85,14266,14241.73,14395.7,14555.3,14425.61,14279.72,13933.13,13610.49,13527.53,13396.94,13218.99,13309.92,13301.29,13386.72,13400.16,13439.23,13464.38,13510.91,13488.87,13547.67,13597.47,13709.28,13813.82,14067.05,14360.6,14674.05,14975.81,15177.71,15236.46,15158.9,14797.68,14582.31,14491.49,14516.39,14552.95,14786.81,14746.88,14586.05,14545.43,14570.95,14682.09,14590.99,14544.19,14539.92,14364.35,14139.56,13975.86,13710.69,13332.98,13040.84,12751.96,12701.52,12385.06,12211.72
2013/1/12,11819.01,11490.5,11374.54,11226.5,11163.33,11010.72,10738.67,10771.7,10711.01,10683.91,10567.67,10527.43,10392.55,10390.06,10410.13,10324.56,10335.49,10248.51,10236.35,10188.83,10201.45,10185.58,10215.67,10216.24,10221.85,10341.46,10460.55,10613.15,10564.7,10696.37,10891.76,11104.79,11455.21,11873.52,12518.25,13062.45,13282.78,13399.25,13704.8,13920.39,14139.68,14190.69,14327.87,14387.47,14350.63,14285.79,14182.23,14061.35,13648.44,13348.42,13146.13,12905.78,12827.93,12855.45,12785.93,12731.96,12776.49,12819.12,12760,12719.26,12677.5,12624.04,12735.06,12733.51,12797.08,13015.63,13203.52,13364.15,13641.44,13821.79,13965.69,14028.11,13792.39,13577.33,13503.89,13589.93,13822.71,14138.73,14077.93,14103.98,14090.31,14102.82,14145.24,14016.19,14011.82,14029.16,13872.12,13688.35,13718.86,13470.32,13126.58,12783.99,12661.16,12567.66,12454.28,12053.44
2013/1/13,11710.47,11463.15,11273.37,11167.08,11130.62,10916.92,10793.79,10712.15,10683.33,10530.92,10461.35,10389.69,10343.63,10243.1,10256.88,10159.09,10176.71,10124.12,10097.4,10088,10020.64,10102.79,10057.82,10119.77,10113.84,10196.33,10250.8,10384.79,10454.69,10496.14,10582.27,10895.67,11035.61,11632.48,12144.49,12660.96,12975.6,13066.1,13276.71,13611.36,13660.99,13741.49,13727.96,13752.43,13800.77,13808.12,13722.41,13552.98,13245.72,12956.55,12705.48,12498.1,12273.23,12337.52,12357.76,12272.54,12262.87,12340.19,12326.09,12382.05,12347.45,12422.43,12403.42,12476.76,12554.43,12776.77,12920.54,13168.05,13420.13,13602.58,13730.74,13699.68,13421.81,13207.33,13118.76,13226.87,13542.35,13795.01,13876.84,13904.14,13797.31,13869.09,13891.71,13741.59,13586.06,13751.78,13610.66,13444.11,13234.12,13046.28,12725.05,12430.48,12191.87,12333.1,12078.03,11850.21
2013/1/14,11462.26,11270.91,11179.6,10993.1,10815.46,10736.73,10608.62,10458.04,10444.82,10377.56,10269.52,10184.57,10188.4,10120.69,10004.34,10098.23,10089.66,10159.56,10033.87,10069.5,10037.26,10120.46,10092.69,10231.3,10281.02,10342.23,10566.54,10706.62,10811.13,10909.49,11050.2,11418.39,11683.91,12177.17,12802.4,13116.58,13225.51,13218.92,13402.2,13553.21,13737.34,13816.97,13895.53,14063.47,14055.59,14201.08,14144.78,13992.4,13640.2,13387.36,13181.65,12974.16,12884.61,12917.48,12924.63,12903.4,12834.28,12941.06,12907.54,13066.06,12910.48,13025.11,13032.61,13190.96,13183.65,13236.68,13432.15,13691.94,13923.78,14186.44,14271.51,14200.73,13933.56,13649.72,13542.11,13601.52,13894.41,13994.25,14051.7,13927.87,13992.87,13919.74,13965.75,13892.17,13797.53,13847.75,13724.6,13545.34,13389.56,13178.77,12787.23,12599.09,12372.16,12398.51,12125.91,11838.87
2013/1/15,11607.63,11266.14,11174.02,10997.44,10802.71,10660.05,10596.91,10540.2,10426.9,10355.72,10304.74,10277.52,10275.26,10299.21,10210.39,10250.37,10224.15,10086.78,10156.95,10206.71,10195.95,10245.16,10190.29,10303.6,10351.36,10514.41,10732.12,10953.83,11049.79,11234.4,11342.01,11592.77,11824.05,12472.28,13018.55,13335.67,13506.46,13595.49,13772.03,13870.44,13995,14110.11,14110.77,14188.73,14262.31,14286.9,14276.62,14066.6,13703.57,13400.11,13198.61,13021.51,12993.16,12952.63,12995.33,13003.22,13003.63,13061.17,12981.32,12991.34,12973.16,12899.63,12917.67,13027.23,13072.13,13227.82,13410.43,13702.21,13913.18,14046.9,14260,14150.24,13920.58,13606.08,13548.14,13594.71,13854.12,14012.09,14061.74,14055.75,14085.42,13999.64,14101,14052.87,13932.74,13929.29,13807.97,13640.16,13369.65,13134.28,12773.02,12491.85,12299.12,12257.09,12116.37,11827.93
2013/1/16,11494.84,11234.4,11024.92,10846.87,10798.35,10643.62,10514.25,10402.56,10303.45,10286.38,10156.54,10118.7,10101.45,10079.46,10007.78,9992.517,10002.43,9925.325,9938.76,9977.093,9948.579,9935.092,9940.323,10014.78,10059.84,10200.93,10277.1,10509.09,10600.86,10824.66,10963.98,11248.1,11470.29,12056.83,12494.79,12832.09,13028.37,13051.52,13143.06,13186.17,13369.26,13443.14,13464.36,13518.87,13576.09,13583.95,13577.03,13447.5,13092.74,12797.85,12560.97,12392.52,12270,12256.88,12225.4,12273.82,12280.04,12334.31,12371.31,12393.14,12373,12434.23,12515.35,12564.34,12625.92,12688.67,12997.23,13252.99,13466.47,13778.27,13873.52,13788.33,13488.31,13210.95,13228.73,13211.89,13539.58,13808.16,13767.41,13812.58,13803.92,13726.65,13836.94,13691.92,13739.62,13768.47,13714.28,13578.07,13461.25,13339.25,13033.61,12612.19,12419.05,12404.09,12148.58,11888.59
2013/1/17,11652.77,11447.17,11295.23,11200.29,11010.81,10897.52,10799.16,10724.76,10603.04,10670.23,10505.24,10347.16,10349.07,10330.23,10311.58,10266.46,10236.7,10144.85,10221.45,10309.29,10269.53,10256.87,10206.64,10268.49,10375.97,10452.79,10677.42,10889.75,10868.2,11079.91,11200.13,11422.38,11622.28,12148.92,12638.61,13238.35,13385.51,13502.04,13726.27,13852.13,13971.93,14071.38,14212.09,14285.2,14295.38,14398.66,14361.45,14205.69,13782.85,13628.93,13390.23,13355.78,13263.62,13224.06,13219.51,13223,13269.19,13323.67,13266.3,13277.71,13275.09,13284.5,13324.7,13487.26,13544.97,13657.62,13939.94,14204.51,14469.23,14663.57,14881.35,14819.14,14485.71,14278.72,14249.02,14232.97,14315.1,14541.35,14565.7,14498.5,14434.17,14429.37,14489.47,14381.54,14285.07,14258.01,14164.79,13954.08,13870.93,13537.73,13203.6,12721.84,12558.08,12565.88,12405.79,12176.64
2013/1/18,11854.95,11509.25,11331,11127.33,11025.69,11031.47,10839.98,10775.07,10706.29,10576.33,10561.71,10458,10445,10442.47,10367.88,10257.27,10222.5,10214.02,10233.87,10200.55,10194.24,10181.53,10191.04,10227.4,10392.58,10480.56,10585.71,10715.43,10753.54,11002.03,11169.73,11398.81,11638.27,12176.61,12650.28,13120.96,13226.85,13401.64,13452.28,13654.21,13764.22,13678.52,13774.53,13949.93,14064.16,13998.94,13961.84,13714.64,13349.19,13049.71,12795.18,12652.35,12512.68,12547.24,12550.68,12649.34,12650.15,12650.25,12631.22,12540.29,12508.11,12506.52,12526.39,12610.12,12650.53,12768.93,12944,13228.01,13326.33,13558.49,13651.05,13577.74,13333.31,12998.75,13037.69,13052.13,13233.79,13448.12,13600.55,13513.74,13466.8,13536.9,13625.03,13525.22,13582.22,13536.79,13453.13,13325.09,13214,13127.51,12876.2,12591.36,12414.5,12431.29,12150.82,11903.71
2013/1/19,11686.57,11348.05,11231.47,10960.69,10867.13,10696.79,10645.08,10548.15,10390.39,10308.06,10185.3,10137.99,9963.161,10034.76,9972.022,9931.361,9887.298,9950.001,9929.017,9873.975,9664.546,9909.559,9958.303,9820.97,9933.129,10087.11,10108.44,10295.89,10278.89,10442.7,10509.29,10784.26,11027.64,11617.76,12054.13,12405.55,12480.45,12623.98,12713.59,12782.72,12859.65,12868.04,12935.47,12910.78,12886.7,12884.33,12805.48,12686.51,12297.22,12192.61,11955.92,11766.76,11758.07,11792.08,11763.09,11810.07,11785.76,11926.59,11852.69,11836.14,11822.7,11851.63,11858.66,11888.79,11891.15,12067.51,12201.93,12378.06,12641.88,12711.1,12845.75,12758.68,12510.36,12351.33,12257.83,12290.14,12586.3,12832.74,12945.79,12970,12949.88,12963.21,13021.46,12910.85,12887.3,12889.66,12820.9,12745.13,12524.03,12385.82,12201,11891.7,11859.87,11945.99,11724.95,11360.82
2013/1/20,11143.68,10918.75,10743.38,10659.12,10519.59,10451.68,10404.19,10252.37,10045.67,9954.742,9940.381,9899.123,9785.996,9828.046,9814.238,9734.507,9709.425,9629.025,9673.007,9732.433,9630.121,9657.318,9623.863,9694.217,9746.79,9793.704,9819.918,9992.19,10010.08,10083.07,10233.34,10502.22,10789.52,11273.08,11745.81,12176.72,12401.49,12455.09,12482.54,12663.24,12778.87,12823.63,12846.99,12881.51,12874.44,12934.07,12921.99,12727.9,12387.07,12073.82,11726.06,11670.74,11688.94,11705.74,11818.05,11815.15,11837.2,11909.75,11935.13,11939.9,11904.24,11947.4,11980.03,12070.42,12093.67,12073.81,12303.74,12550.31,12702.44,12901.47,13079.4,13069.2,12746.98,12506.22,12420.29,12492.3,12594.94,12850.42,13000.88,12973.98,12873.94,12875.44,12948.15,12906.77,12894.7,13010.2,12843.56,12770.58,12595,12415.91,12215.01,11979.76,11757.07,11793.07,11596.81,11330.44
