year,昆明市,楚雄州,玉溪市,曲靖市,昭通市,红河州,文山州,大理州,保山市,迪庆州,怒江州,丽江市,德宏州,普洱市,临沧市,西双版纳州,主旺网损,云南省
2018,361,50,141,296,88,231,89,67,70,16,29,34,59,38,34,32,65,1679
2019,363 ,58 ,110 ,304 ,143 ,223 ,110 ,85 ,81 ,14 ,30 ,33 ,65 ,39 ,36 ,26 ,72,1812
